id,canonical_name,category,subtype,key_attributes_schema,default_iq,default_oq,default_pq,default_calibration_months,default_maintenance_months,default_requalification_months,risk_level,regulatory_references,search_aliases,locale_overrides,notes
,Suture Anchor Induction Heater,Production: Assembly,Precision Insert Bonder,"{""frequency"":{""type"":""number"",""units"":""kHz""},""heat_time"":{""type"":""number"",""units"":""sec""},""power_output"":{""type"":""number"",""units"":""W""}}",TRUE,TRUE,TRUE,6,12,12,High,ISO 13485;21 CFR 820.75,anchor heater;insert bonder;suture welder,{},PQ verifies pull-out force of the suture from the anchor.
,Active Battery Cycle Tester,Metrology,Implantable Cell Analyzer,"{""volt_acc"":{""type"":""number"",""units"":""mV""},""curr_acc"":{""type"":""number"",""units"":""uA""},""channels"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,12,,High,IEC 60601-1;ISO 13485;21 CFR Part 11,battery cycler;cell tester;pacer battery,{},Critical for validating long-term reliability of lithium primary cells.
,RF Shielded Test Box,Environment,Faraday Active Device Box,"{""shielding_db"":{""type"":""number"",""units"":""dB""},""freq_range"":{""type"":""range"",""units"":""GHz""},""interlocks"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,,12,,High,IEC 60601-1-2;FDA QMSR,RF box;Faraday cage;pacer test box,{},OQ verifies attenuation levels at targeted frequencies.
,Pouch Rotary Loader,Production: Packaging,High-Speed Aseptic Loader,"{""cycle_speed"":{""type"":""number"",""units"":""PPM""},""vacuum_acc"":{""type"":""number"",""units"":""mbar""},""material"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 11607;21 CFR 820.75,pouch loader;product inserter;rotary loader,{},PQ verifies zero-pinch or fold errors in sterile barrier. 
,Catheter Tip Grinder,Production,Precision Mandrel Grinder,"{""wheel_rpm"":{""type"":""number""},""feed_acc"":{""type"":""number"",""units"":""um""},""coolant"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,,Medium,ISO 13485;21 CFR 820,tip grinder;mandrel finisher;catheter bench,{},PQ verifies atraumatic tip geometry and OD consistency.
,Automated Mandrel Sizer,Production: Auxiliaries,Laser Straightener/Sizer,"{""straightness_tol"":{""type"":""number"",""units"":""um""},""speed"":{""type"":""number"",""units"":""m/min""},""laser_v"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Low,ISO 13485;FDA QMSR,core straightener;mandrel sizer;wire sizer,{},OQ verifies TIR (Total Indicator Reading) of straightened wire.
,Implantable Sensor Cal Bath,Metrology,Precision Thermal Source,"{""temp_stability"":{""type"":""number"",""units"":""C""},""uniformity"":{""type"":""number"",""units"":""C""},""vol"":{""type"":""number"",""units"":""L""}}",TRUE,TRUE,TRUE,6,12,,High,ISO 17025;FDA QMSR,cal bath;sensor bath;thermal master,{},Reference standard for qualifying therapeutic heart sensors. 
,Laser Suture Driller,Production: Machining,Micro-Hole CO2/UV Laser,"{""hole_dia"":{""type"":""number"",""units"":""um""},""pulse_freq"":{""type"":""number"",""units"":""kHz""},""depth_ctrl"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75,needle driller;suture laser;micro-drill,{},Critical for swaged needle/suture attachment quality.
,Micro-Injection Insert Molder,Material Forming,Vertical Cleanroom Press,"{""clamp_force"":{""type"":""number"",""units"":""kN""},""shot_size"":{""type"":""number"",""units"":""g""},""insert_sensor"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,24,High,ISO 13485;21 CFR 820.75,insert molder;vertical press;needle molder,{},"OQ establishes ""Insert Detect"" safety logic and process window."
,Tissue Valve Sewing Stand,Production,Aseptic Surgical Bench,"{""lighting_lux"":{""type"":""number""},""ergonomics"":{""type"":""string""},""sterile_surface"":{""type"":""boolean""}}",TRUE,FALSE,FALSE,,12,,High,21 CFR 1271.190;ISO 14644,heart valve bench;sewing station;HCTP bench,{},IQ verifies laminar airflow integration and light intensity.
,High-Intensity UV Cure Chamber,Production: Assembly,Batch UV Irradiation,"{""uv_intensity"":{""type"":""number"",""units"":""mW/cm2""},""cooling_fan"":{""type"":""boolean""},""timer_acc"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;21 CFR 820.75,UV box;adhesive oven;light cure chamber,{},"PQ verifies ""Degree of Cure"" (e.g., Shore D hardness) across full load."
,Surgical Tool Torque Tester,Metrology,Haptic Feedback Calibrator,"{""torque_range"":{""type"":""range"",""units"":""N-cm""},""angular_acc"":{""type"":""number"",""units"":""deg""},""peak_hold"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 17025;FDA QMSR,torque analyzer;tool cal;haptic tester,{},"Used to validate ""Click"" accuracy of torque-limiting drivers. "
,Robotic Aseptic Filling Line,Production: Assembly & Filling,Isolator-Integrated Vial/Syringe,"{""fill_range"":{""type"":""range"",""units"":""mL""},""accuracy"":{""type"":""number"",""units"":""%""},""cleanroom_class"":{""type"":""enum"",""values"":}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13408-1;21 CFR 820.75;21 CFR 1271,vial filler;syringe robot;aseptic filler,{},PQ includes media fills to verify 100% aseptic integrity.
,Automated Surgical Instrument Finisher,Production: Finishing,Hemostat/Forceps Polisher,"{""belt_speed"":{""type"":""number"",""units"":""RPM""},""media_type"":{""type"":""string""},""stations"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,12,24,Medium,ISO 13485;FDA QMSR;ISO 17664,instrument polisher;forceps finisher;hemostat polisher,{},PQ verifies consistent surface roughness (Ra) and absence of burrs.
,"HVAC ""Active Smoke"" Fogger",Facilities: Validation,High-Output Visualization Fogger,"{""smoke_duration"":{""type"":""number"",""units"":""min""},""particle_safety"":{""type"":""boolean""},""fog_density"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,12,Low,ISO 14644-3;FDA Guidance (Cleanroom),smoke generator;cleanroom fogger;HVAC visualizer,{},"Used for ""Smoke Studies"" to visualize laminar airflow patterns."
,Pharmaceutical Spray Dryer,Production: Material Forming,Drug-Device Combination System,"{""inlet_temp"":{""type"":""range"",""units"":""C""},""feed_rate"":{""type"":""number"",""units"":""mL/min""},""gas_flow"":{""type"":""number"",""units"":""LPM""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;21 CFR Part 11;cGMP,drug-device dryer;micro-particle dryer;GEA dryer,{},PQ involves particle size distribution and drug-loading stability.
,Ultra-Precision IOL Lathe,Production: Material Forming,Ophthalmic Diamond Turner,"{""spindle_speed"":{""type"":""number"",""units"":""RPM""},""surface_finish"":{""type"":""number"",""units"":""nm""},""positional_acc"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 11979-3;21 CFR 886.3600,intraocular lathe;contact lens lathe;diamond turner,{},PQ must include diopter accuracy and modulation transfer function (MTF).
,RFID Tag Writer/Encoder,Production: Labeling,UHF/ISO 18000 Encoder,"{""freq_range"":{""type"":""range"",""units"":""MHz""},""protocol"":{""type"":""enum"",""values"":},""write_speed"":{""type"":""number"",""units"":""tags/min""}}",TRUE,TRUE,TRUE,12,12,12,Medium,ISO 18000-63;21 CFR 830,chip writer;smart labeler;UHF encoder,{},"OQ verifies ""Write Success"" rate and data lock integrity."
,Suture Needle Punch / Borer,Production: Machining,Laser/Mechanical Hole Borer,"{""hole_dia"":{""type"":""range"",""units"":""um""},""stroke_depth"":{""type"":""number"",""units"":""mm""},""laser_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,24,High,ISO 13485;21 CFR 820.75,borer;suture driller;needle hole maker,{},PQ verifies hole depth consistency for needle swage pull-out strength.
,Robotic Surgical Instrument Tester,Metrology: Surgical,Haptic Feedback Calibrator,"{""force_feedback_res"":{""type"":""number"",""units"":""mN""},""axial_acc"":{""type"":""number"",""units"":""um""},""degree_of_freedom"":{""type"":""integer""}}",TRUE,TRUE,TRUE,6,6,12,High,IEC 60601-1;ASTM F3107,haptic calibrator;robotic surgical arm tester;da vinci tester,{},Critical for validating robotic effector accuracy and safety stop.
,Automated Micro-Screwdriver,Production: Assembly,Torque/Angle Control Station,"{""torque_range"":{""type"":""range"",""units"":""Ncm""},""rpm"":{""type"":""number""},""torque_accuracy"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,TRUE,12,12,12,Medium,ISO 13485;21 CFR 820.70,torque driver;automated screw;assembly tool,{},"OQ verifies ""Low-Torque"" limits to prevent housing stripping."
,Digital Pathology Slide Scanner,Metrology,High-Res Tissue Digitizer,"{""magnification"":{""type"":""enum"",""values"":[""20x"",""40x""]},""resolution"":{""type"":""number"",""units"":""um/pixel""},""slide_cap"":{""type"":""integer""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 13485;21 CFR Part 11,histology scanner;slide digitizer;pathology bot,{},Critical for IVD/HCT/P quality checks. OQ verifies color fidelity.
,UV-Vis Spectrophotometer,Analytical Lab,Dual-Beam Scanning Unit,"{""wavelength_range"":{""type"":""range"",""units"":""nm""},""stray_light"":{""type"":""number"",""units"":""%""},""photometric_acc"":{""type"":""number"",""units"":""Abs""}}",TRUE,TRUE,FALSE,12,12,12,Medium,USP <1058>;USP <857>,spectrometer;lab UV;light meter,{},USP <1058> Group B. Calibrated for wavelength accuracy and linearity.
,Karl Fischer Titrator,Analytical Lab,Moisture Analyzer,"{""moisture_range"":{""type"":""range"",""units"":""ppm""},""resolution"":{""type"":""number"",""units"":""ug""},""method"":{""type"":""enum"",""values"":[""Volumetric"",""Coulometric""]}}",TRUE,TRUE,FALSE,12,12,12,Medium,USP <1058>;USP <921>,moisture analyzer;titrator;KF water tester,{},Used to validate residual moisture in lyophilized HCT/P products.
,Dissolution Test System,Analytical Lab,USP Apparatus 1/2 Station,"{""bath_temp_acc"":{""type"":""number"",""units"":""C""},""paddle_rpm"":{""type"":""number""},""vessel_vol"":{""type"":""number"",""units"":""mL""}}",TRUE,TRUE,TRUE,6,12,12,Medium,USP <1058>;USP <711>,tablet tester;dissolution bath;paddle tester,{},PQ verifies release rate of drug-eluting catheters or beads.
,TOC (Total Organic Carbon) Analyzer,Utilities,Online High-Temp Oxidation,"{""lod"":{""type"":""number"",""units"":""ppb""},""response_time"":{""type"":""number"",""units"":""sec""},""oxidizer_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,6,12,12,High,USP <643>;USP <1231>,water toc;carbon analyzer;Sievers,{},Essential utility control for WFI and Purified Water systems.
,Automatic Colony Counter,Laboratory: Micro,High-Res Imaging Counter,"{""detection_limit"":{""type"":""number"",""units"":""um""},""image_res"":{""type"":""number"",""units"":""MP""},""plate_dia"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,FALSE,12,12,12,Medium,USP <1058>;FDA QMSR,micro counter;bacterial counter;plate counter,{},OQ verifies separation logic for overlapping bacterial colonies.
,Burst Strength Tester,Metrology: Packaging,Mullen-Style Hydraulic,"{""burst_range"":{""type"":""range"",""units"":""psi""},""diaphragm_dia"":{""type"":""number"",""units"":""mm""},""data_acc"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 11607-1;ASTM D3786,Mullen tester;packaging burst;pouch strength,{},Used to qualify secondary shipping cartons for medical devices.
,Handheld Raman Spectrometer,Metrology,Handheld RMID Unit,"{""laser_wavelength"":{""type"":""number"",""units"":""nm""},""spectral_range"":{""type"":""range"",""units"":""cm-1""},""laser_safety_class"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,12,Medium,USP <858>;21 CFR Part 11,handheld raman;RMID;Vaya;Agilent,{},OQ verifies chemical ID accuracy through clear/amber containers.
,Non-Contact Optical Micrometer,Metrology,High-Speed Laser Scan,"{""od_range"":{""type"":""range"",""units"":""mm""},""scan_rate"":{""type"":""number"",""units"":""Hz""},""resolution"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 17025;FDA 820,laser mic;optical gauge;non-contact sizer,{},Used for real-time diameter monitoring during catheter extrusion.
,Muffle Furnace,Laboratory,High-Temp Ashing Unit,"{""temp_max"":{""type"":""number"",""units"":""C""},""chamber_vol"":{""type"":""number"",""units"":""L""},""venting"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 13485;21 CFR 820.70,lab oven;ashing furnace;high temp lab,{},Used to determine residue on ignition (ROI) for device materials.
,Automated Tissue Microarrayer,HCT/P Processing,Precision Tissue Puncher,"{""punch_dia"":{""type"":""range"",""units"":""mm""},""tray_capacity"":{""type"":""integer""},""pos_acc"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,12,12,12,Medium,21 CFR 1271;ISO 13485,tissue array;TMA bot;HCTP punch,{},Used for high-throughput screening of donor tissue biopsy cores.
,Selective Wave Soldering,Production: Electronics,Lead-Free Point-to-Point,"{""solder_pot_temp"":{""type"":""number"",""units"":""C""},""nozzle_dia"":{""type"":""number"",""units"":""mm""},""drag_speed"":{""type"":""number"",""units"":""mm/s""}}",TRUE,TRUE,TRUE,12,6,12,High,IPC-7801;J-STD-001;ISO 13485,selective solder;point solder;mini-wave,{},PQ requires micro-sectioning of solder joints to verify intermetallic thickness.
,Orthopedic Screw Coater,Production: Surface Treatment,Automated Spin/Spray,"{""spin_speed"":{""type"":""number"",""units"":""RPM""},""spray_pressure"":{""type"":""number"",""units"":""psi""},""cure_time"":{""type"":""number"",""units"":""min""}}",TRUE,TRUE,TRUE,6,12,12,High,ISO 13485;ASTM F1147;FDA 820.75,screw coater;HA coater;bone screw finisher,{},PQ verifies coating mass and thickness uniformity across 3 batches.
,Cleanroom AGV/AMR,Facilities: Transport,Autonomous Mobile Robot,"{""path_accuracy"":{""type"":""number"",""units"":""mm""},""cleanroom_class"":{""type"":""integer""},""payload"":{""type"":""number"",""units"":""kg""}}",TRUE,TRUE,FALSE,12,12,,Low,ISO 14644-14;ANSI/RIA R15.08,cleanroom bot;AMR;material robot;mobile platform,{},"OQ verifies obstacle avoidance logic and ""E-Stop"" response within cleanroom."
,Precision Needle Grinder,Production: Machining,CNC Multi-Bevel Grinder,"{""grinding_angle"":{""type"":""number"",""units"":""deg""},""wheel_rpm"":{""type"":""number""},""coolant_flow"":{""type"":""number"",""units"":""L/min""}}",TRUE,TRUE,TRUE,12,6,24,Medium,ISO 13485;21 CFR 820.70,cannula grinder;needle maker;point grinder,{},"OQ verifies ""Point Geometry"" consistency using 3D vision measurement."
,Vial Capping / Crimping,Production: Packaging,Aseptic Aluminum Crimper,"{""crimp_force"":{""type"":""number"",""units"":""N""},""vial_height_acc"":{""type"":""number"",""units"":""mm""},""reject_logic"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 13408-1;21 CFR 1271,vial capper;crimper;seal crimper,{},PQ involves container closure integrity (CCI) testing after crimping.
,High-Shear Granulator,Reagent Mfg,Wet Reagent Granulator,"{""impeller_speed"":{""type"":""number"",""units"":""RPM""},""chopper_speed"":{""type"":""number"",""units"":""RPM""},""liquid_feed_rate"":{""type"":""number"",""units"":""g/min""}}",TRUE,TRUE,TRUE,12,6,12,Medium,21 CFR 820.75;ISO 13485,wet granulator;mixer;IVD granulator,{},PQ verifies final particle size distribution and moisture content.
,3D Laser Profile Scanner,Metrology,High-Res Surface Map,"{""z_resolution"":{""type"":""number"",""units"":""um""},""xy_resolution"":{""type"":""number"",""units"":""um""},""scan_speed"":{""type"":""number"",""units"":""mm/s""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 10360-8;ISO 17025,profile scanner;laser map;surface scanner,{},Used to qualify orthopedic implant surface roughness and texture.
,Automated Suture Braider,Production,Multi-Carrier Fiber Braider,"{""mandrel_speed"":{""type"":""number"",""units"":""RPM""},""carrier_tension"":{""type"":""number"",""units"":""N""},""picks_per_inch"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.75,fiber braider;suture maker;wire braider,{},PQ verifies tensile strength and diameter consistency of the braid.
,Bio-Hazard Pass-through,Sterilization,Autoclave/VHP Interlock,"{""steam_pressure"":{""type"":""number"",""units"":""bar""},""cycle_time"":{""type"":""number"",""units"":""min""},""door_interlock"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 17665;29 CFR 1910.1030,waste pass;decon hatch;sterilizer hatch,{},OQ verifies that only one door can open and seal integrity remains high.
,Vapor Phase Reflow Oven,Production: Electronics,High-Density PCB Reflow,"{""fluid_boiling_point"":{""type"":""number"",""units"":""C""},""preheat_time"":{""type"":""number"",""units"":""sec""},""pressure"":{""type"":""number"",""units"":""mbar""}}",TRUE,TRUE,TRUE,12,6,12,High,IPC Class 3;J-STD-020,vapor reflow;condensation solder;PCB oven,{},Used for complex medical sensor PCBs. PQ verifies zero-voiding joints.
,Titanium Anodizing Line,Production: Finishing,Type II/III Color Line,"{""rectifier_voltage"":{""type"":""number"",""units"":""V""},""acid_temp"":{""type"":""number"",""units"":""C""},""dwell_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,6,12,12,Medium,ISO 13485;21 CFR 820.75,color anodizer;Ti finisher;ortho line,{},PQ verifies color uniformity and absence of acid residue (NVR).
,Optical Fusion Splicer,Production: Assembly,Fiber-Optic Catheter Splice,"{""splice_loss"":{""type"":""number"",""units"":""dB""},""tensile_strength"":{""type"":""number"",""units"":""N""},""alignment_mode"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 13485;FDA 820,laser catheter splice;fiber splicer;fusion unit,{},OQ verifies arc power stability and core alignment accuracy.
,Cleanroom Air Velocity Meter,Metrology,Hot-Wire Anemometer,"{""range"":{""type"":""range"",""units"":""fpm""},""accuracy"":{""type"":""number"",""units"":""%""},""datalogging"":{""type"":""boolean""}}",TRUE,FALSE,FALSE,12,,,Low,ISO 14644-3;ISO 17025,anemometer;airflow probe;hood tester,{},Calibration must be performed against a NIST-traceable wind tunnel.
,Aseptic Liquid Dosing Robot,Production: Assembly,Robotic Syringe/Vial Doser,"{""vol_accuracy"":{""type"":""number"",""units"":""%""},""cycle_speed"":{""type"":""number"",""units"":""doses/hr""},""sterile_path"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13408-1;21 CFR Part 11,dosing bot;liquid robot;filling arm,{},"PQ requires ""Precision Fill"" validation across the full volume range."
,Cleanroom Garment Scanner,Metrology,Particulate Release Tester,"{""sensitivity"":{""type"":""number"",""units"":""um""},""test_duration"":{""type"":""number"",""units"":""sec""},""sample_flow"":{""type"":""number"",""units"":""LPM""}}",TRUE,TRUE,FALSE,12,12,,Low,IEST-RP-CC003;ISO 14644,suit scanner;garment tester;particle release,{},Used to qualify laundry cycles for reusable cleanroom gowns.
,Guidewire Coating Dip Tank,Production: Coating,Automated Hydrophilic Dip,"{""withdraw_speed"":{""type"":""number"",""units"":""mm/s""},""tank_viscosity"":{""type"":""number"",""units"":""cP""},""dwell_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 13485;ASTM F2397,dip coater;lubricity tank;guidewire line,{},PQ verifies final lubricity (friction reduction) of the wire.
,Digital Pacer Lead Gauge,Production: Inspection,X-Ray Dimensional Gauge,"{""resolution"":{""type"":""number"",""units"":""um""},""kVp_output"":{""type"":""number"",""units"":""kV""},""software_v"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,High,21 CFR 1020;21 CFR Part 11,lead gauge;X-ray inspector;lead inspector,{},OQ verifies image sharpness and pixel-to-micron calibration.
,Smart Conveyor Redirecter,Integration,Vision-Triggered Diverter,"{""redirect_time"":{""type"":""number"",""units"":""ms""},""trigger_logic"":{""type"":""string""},""speed_max"":{""type"":""number"",""units"":""m/min""}}",TRUE,TRUE,FALSE,12,12,,Medium,21 CFR 820.70;ISO 13485,diverter;sortation arm;reject gate,{},"OQ verifies ""Fail-Safe"" reject logic (reject if air pressure drops)."
,High-Resolution IOL Sorter,Production: Assembly,Ophthalmic Lens Inserter,"{""position_acc"":{""type"":""number"",""units"":""um""},""force_limit"":{""type"":""number"",""units"":""N""},""cycle_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 11979-3;ISO 13485,lens sorter;IOL loader;optical assembly,{},Critical for handling intraocular lenses without edge damage.
,Plasma Surface Activator,Production,Low-Pressure O2 Plasma,"{""rf_power"":{""type"":""number"",""units"":""W""},""gas_pressure"":{""type"":""number"",""units"":""mbar""},""cycle_temp"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,12,6,12,Medium,ISO 10993-1;ISO 13485,plasma cleaner;surface prep;O2 plasma,{},"PQ verifies ""Wettability"" (Dyne level) on plastic catheter manifolds."
,Laser Plastic Welder,Production: Assembly,Quasi-Simultaneous / Contour,"{""laser_power"":{""type"":""number"",""units"":""W""},""clamp_force"":{""type"":""number"",""units"":""N""},""scan_speed"":{""type"":""number"",""units"":""mm/s""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 13485;21 CFR 820.75;ISO 10993,plastic laser;ClearWeld;LPKF welder,{},PQ verifies joint pull-strength and hermeticity on transparent plastics.
,Guidewire Tip Shaper,Production: Finishing,Automated Thermal Former,"{""forming_temp"":{""type"":""number"",""units"":""C""},""mandrel_dia"":{""type"":""number"",""units"":""mm""},""dwell_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70;ISO 10555,tip shaper;J-tip maker;catheter wire shaper,{},"PQ verifies tip geometry (e.g., J-curve) and absence of heat-damage."
,Sterilization Transfer Hatch,Facilities: Decon,VHP/UV-C Pass-through,"{""cycle_time"":{""type"":""number"",""units"":""min""},""h2o2_conc"":{""type"":""number"",""units"":""ppm""},""door_interlock"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 14644;ISO 14937;21 CFR 820,pass-box;clean-side hatch;sterile transfer,{},"PQ involves BI log-reduction testing to verify ""Clean-Side"" entry safety."
,Induction Cap Sealer,Production: Packaging,High-Frequency Foil Sealer,"{""line_speed"":{""type"":""number"",""units"":""m/min""},""induction_power"":{""type"":""number"",""units"":""W""},""height_adjustment"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 11607;FDA QMSR,cap sealer;foil sealer;Enercon;induction bonder,{},OQ verifies seal integrity across the full induction field width. 
,Rotational Bond Strength Tester,Metrology,Catheter Torque-to-Failure,"{""torque_cap"":{""type"":""number"",""units"":""N-cm""},""rotation_speed"":{""type"":""number"",""units"":""RPM""},""jaw_alignment"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 10555-1;ASTM F2394,torque tester;bond strength;catheter torque,{},PQ verifies proximal-to-distal torque transmission reliability.
,Dynamic Mechanical Analyzer (DMA),Analytical Lab,Viscoelastic Characterization,"{""force_range"":{""type"":""range"",""units"":""N""},""freq_range"":{""type"":""range"",""units"":""Hz""},""temp_acc"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,FALSE,12,12,,Medium,USP <1058>;ISO 6721,DMA;polymer stiffness;viscoelastic tester,{},Critical for bio-absorbable polymer degradation studies. 
,Torsional Fatigue Tester,Metrology,Dynamic Orthopedic Bench,"{""torque_load"":{""type"":""number"",""units"":""N-m""},""cycles"":{""type"":""integer""},""env_chamber"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,6,24,High,ASTM F1717;ASTM F543,screw fatigue;spinal fatigue;dynamic torsion,{},PQ verifies implant survival through >1 million dynamic cycles. 
,Hydrostatic Pressure Tester,Metrology,Catheter Burst Stand,"{""max_pressure"":{""type"":""number"",""units"":""psi""},""fluid_temp"":{""type"":""number"",""units"":""C""},""timer_acc"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,6,12,,High,ISO 10555;FDA Guidance 824,burst tester;RBP bench;catheter pressure,{},"Used to validate ""Rated Burst Pressure"" (RBP) specifications."
,Robotic Pipetting Workstation,Laboratory,Automated IVD Preparation,"{""vol_accuracy"":{""type"":""number"",""units"":""%""},""cv_reproducibility"":{""type"":""number"",""units"":""%""},""deck_cap"":{""type"":""integer""}}",TRUE,TRUE,TRUE,6,6,12,High,GAMP 5;21 CFR Part 11;USP <1058>,Hamilton;pipetting robot;liquid handler,{},PQ requires gravimetric volume verification of robotic heads.
,High-Resolution Digital Microscope,Metrology,4K Automated Inspection,"{""magnification"":{""type"":""range"",""units"":""x""},""measuring_acc"":{""type"":""number"",""units"":""um""},""z_stacking"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 13485;FDA 820,Keyence microscope;digital scope;metrology scope,{},OQ verifies calibration against a certified glass scale (NIST).
,Micro-CNC Drill,Production: Machining,High-RPM Suture Needle Borer,"{""drill_speed"":{""type"":""number"",""units"":""RPM""},""feed_acc"":{""type"":""number"",""units"":""um""},""bit_sensor"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.75,needle drill;micro-borer;suture punch,{},PQ verifies hole concentricity for swaged suture reliability.
,Automated Label Rewinder,Production: Labeling,Vision-Integrated Counter,"{""rewind_speed"":{""type"":""number"",""units"":""m/s""},""label_count_acc"":{""type"":""number"",""units"":""%""},""tension_ctrl"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,Low,ISO 13485;FDA 820,label counter;web rewinder;roll checker,{},"OQ verifies ""Missing Label"" detection and recount accuracy. "
,Nitrogen Air-Curtain Cabinet,Facilities,Aseptic Component Storage,"{""n2_purity"":{""type"":""number"",""units"":""%""},""airflow_vel"":{""type"":""number"",""units"":""fpm""},""hepa_eff"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 14644-1;FDA QMSR,sterile rack;N2 cabinet;component storage,{},OQ verifies positive pressure and inert atmosphere stability. 
,Ultrasonic Stent Coater,Surface Treatment,DES Polymer/Drug Sprayer,"{""nozzle_freq"":{""type"":""number"",""units"":""kHz""},""droplet_size"":{""type"":""number"",""units"":""um""},""spray_dist"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;FDA 820.75;ISO 10993,stent coater;ultrasonic sprayer;DES line,{},PQ verifies drug distribution (mapping) and absence of webbing.
,Glove Integrity Tester,Environment & Safety,Wireless Pressure Decay,"{""test_pressure"":{""type"":""number"",""units"":""Pa""},""lod_sensitivity"":{""type"":""number"",""units"":""um""},""vessel_cap"":{""type"":""integer""}}",TRUE,TRUE,FALSE,12,12,,High,ISO 14644-7;FDA QMSR,glove tester;isolator checker;leak tester,{},Mandatory for daily pre-use checks in aseptic HCT/P processing. 
,Vacuum Decay Leak Tester,Production: Packaging,Non-Destructive Package Check,"{""vacuum_level"":{""type"":""number"",""units"":""mbar""},""sensitivity"":{""type"":""number"",""units"":""um""},""chamber_vol"":{""type"":""number"",""units"":""L""}}",TRUE,TRUE,TRUE,12,12,,Medium,ASTM F2338;ISO 11607,CCI tester;pouch leak;non-destruct leak,{},"OQ verifies ""Reject"" logic using a master leak standard. "
,ICP-MS Elemental Analyzer,Analytical Lab,Heavy Metal Impurity System,"{""lod"":{""type"":""number"",""units"":""ppt""},""mass_resolution"":{""type"":""number""},""autosampler"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,USP <232>;USP <233>;ICH Q3D,ICPMS;metal tester;impurity analyzer,{},Used for safety release of implantable devices (elemental risk).
